INCI name,Hair penalty,Body penalty,Face penalty,Oral cavity penalty,Makeup penalty,Babies penalty,Classification,Functions,Origin
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,7-NAPHTHALENEDIOL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
2-AMINO-3-HYDROXYPYRIDINE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,Medium,Medium,Medium,Medium,Medium,Medium,"['Sulphate', 'Regulated', 'Hair dye']",[],[]
2-AMINO-5-ETHYLPHENOL HCL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
2-AMINO-6-CHLORO-4-NITROPHENOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
"2-BROMO-2-NITROPROPANE-1,3-DIOL",Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Formaldehyde liberator', 'Preservative']",['Preservative: Inhibits the development of microorganisms in cosmetic products'],['Synthetic']
2-CHLORO-P-PHENYLENEDIAMINE,Strong,Strong,Strong,Strong,Strong,Strong,"['PPD', 'Hair dye', 'Forbidden in Europe']",['Hair dyeing: Colors the hair'],['Synthetic']
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Strong,Strong,Strong,Strong,Strong,Strong,"['Sulphate', 'PPD', 'Hair dye', 'Forbidden in Europe']",['Hair dyeing: Colors the hair'],[]
2-ETHYLHEXYLAL,None,None,None,None,None,None,[],['Solvent: Dissolves other substances'],[]
2-HYDROXYETHYL PICRAMIC ACID,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
2-HYDROXYETHYLAMINO-5-NITROANISOLE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,Medium,Medium,Medium,Medium,Medium,Medium,"['PPD', 'Regulated', 'Hair dye']",[],[]
2-METHYL-1-NAPHTHOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
2-METHYL-5-HYDROXYETHYLAMINOPHENOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
2-METHYLRESORCINOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],['Synthetic']
2-NAPHTHOL,Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Forbidden in Europe']","['Hair dyeing: Colors the hair', 'Perfuming: Used for perfume and aromatic raw materials']",[]
2-NITRO-5-GLYCERYL METHYLANILINE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"3-AMINO-2,4-DICHLOROPHENOL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"3-AMINO-2,4-DICHLOROPHENOL HCL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
3-BENZYLIDENE CAMPHOR,Strong,Strong,Strong,Strong,Strong,Strong,"['UV chemical filter', 'Regulated', 'Forbidden in Europe']",['Uv absorber: Protects the cosmetic product from UV-light effects'],['Synthetic']
3-CARENE,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],[]
3-METHYLAMINO-4-NITROPHENOXYETHANOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
3-NITRO-P-HYDROXYETHYLAMINOPHENOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",Strong,Strong,Strong,Strong,Strong,Strong,"['Suspected endocrine disruptor', 'Synthetic polymer']","['Film forming: Produces a continuous film on skin, hair or nails']",[]
4-AMINO-2-HYDROXYTOLUENE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
4-AMINO-2-NITRODIPHENYLAMINE-2'-CARBOXYLIC ACID,Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
4-AMINO-3-NITROPHENOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
4-AMINO-M-CRESOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
4-CHLORORESORCINOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
4-HYDROXYBENZOIC ACID,Low,Low,Low,Low,Low,Low,"['Regulated', 'Preservative']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Preservative: Inhibits the development of microorganisms in cosmetic products']",[]
4-HYDROXYPROPYLAMINO-3-NITROPHENOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
4-METHYLBENZYLIDENE CAMPHOR,Strong,Strong,Strong,Strong,Strong,Strong,"['Suspected endocrine disruptor', 'UV chemical filter', 'Regulated']","['Stabilising: Improves ingredients or stability of the formula and shelf life', 'Uv absorber: Protects the cosmetic product from UV-light effects', 'Uv filter: Filters certain UV rays to protect the skin or hair from the harmful effects of these rays']",['Synthetic']
4-NITRO-O-PHENYLENEDIAMINE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
4-PCA DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],"['Film forming: Produces a continuous film on skin, hair or nails', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
4-TERT-BUTYLDIHYDROCINNAMALDEHYDE,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],[]
5-AMINO-6-CHLORO-O-CRESOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']","['Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Hair dyeing: Colors the hair']",[]
"5-BROMO-5-NITRO-1,3-DIOXANE",Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Formaldehyde liberator', 'Preservative']",['Preservative: Inhibits the development of microorganisms in cosmetic products'],[]
6-AMINO-M-CRESOL,Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
6-HYDROXYINDOLE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
ABIES ALBA CONE EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
ABIES ALBA CONE OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
ABIES ALBA LEAF CERA,Low,Low,Low,Low,Low,Low,['Regulated'],"['Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
ABIES ALBA LEAF OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Tonic: Produces a feeling of well-being on skin and hair', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
ABIES ALBA NEEDLE EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
ABIES ALBA NEEDLE OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
ABIES ALBA WOOD EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity']",['Vegetal']
ABIES BALSAMEA EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Film forming: Produces a continuous film on skin, hair or nails', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
ABIES BALSAMEA NEEDLE OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
ABIES PECTINATA EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Deodorant: Reduces or masks unpleasant body odors', 'Tonic: Produces a feeling of well-being on skin and hair']",[]
ABIES PECTINATA LEAF EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Deodorant: Reduces or masks unpleasant body odors', 'Tonic: Produces a feeling of well-being on skin and hair']",[]
ABIES PECTINATA OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Tonic: Produces a feeling of well-being on skin and hair']",[]
ABIES SIBIRICA NEEDLE EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
ABIES SIBIRICA NEEDLE OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
ABIES SIBIRICA OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Tonic: Produces a feeling of well-being on skin and hair', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
ACACIA DECURRENS FLOWER CERA,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin']",['Vegetal']
ACACIA SENEGAL GUM,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Film forming: Produces a continuous film on skin, hair or nails', 'Masking: Reduces or inhibits the odor or basic taste of the product']",['Vegetal']
ACER SACCHARUM EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ACETALDEHYDE,Strong,Strong,Strong,Strong,Strong,Strong,['Regulated'],['Masking: Reduces or inhibits the odor or basic taste of the product'],[]
ACETUM,None,None,None,None,None,None,[],['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface'],[]
ACETYL CEDRENE,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated']",['Masking: Reduces or inhibits the odor or basic taste of the product'],[]
ACETYL HEXAMETHYL INDAN,Low,Low,Low,Low,Low,Low,['Regulated'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",[]
ACETYL HEXAMETHYL TETRALIN,Strong,Strong,Strong,Strong,Strong,Strong,"['Suspected endocrine disruptor', 'Regulated']",['Masking: Reduces or inhibits the odor or basic taste of the product'],[]
ACETYL TRIBUTYL CITRATE,None,None,None,None,None,None,[],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Plasticiser: Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked', 'Perfuming: Used for perfume and aromatic raw materials']","['Vegetal', 'Synthetic']"
ACETYL TRIFLUOROMETHYLPHENYL VALYLGLYCINE,Medium,Medium,Medium,Medium,Medium,Medium,['PFAS'],['Skin conditioning: Maintains skin in good condition'],[]
ACHILLEA MILLEFOLIUM EXTRACT,None,None,None,None,None,None,[],"['Anti dandruff: Helps fight against dandruff', 'Cleansing: Helps to keep a clean surface', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Refreshing: Provides a pleasant freshness to the skin', 'Skin conditioning: Maintains skin in good condition', 'Soothing: Helps to reduce the skin or scalp discomfort', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ACID BLACK 1,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
ACID BLUE 62,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']","['Cosmetic colorant: Color cosmetics and / or give a color to the skin', 'Hair dyeing: Colors the hair']",[]
ACID BLUE 9,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID BLUE 9 ALUMINUM LAKE,Medium,Medium,Medium,Medium,Medium,Medium,"['Aluminum salt', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID BLUE 9 AMMONIUM SALT,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID GREEN 25,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",[],[]
ACID ORANGE 7,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID RED 18,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID RED 195,Low,Low,Low,Low,Low,Low,['Regulated'],['Cosmetic colorant: Color cosmetics and / or give a color to the skin'],[]
ACID RED 33,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID RED 52,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID RED 92,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID VIOLET 43,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID YELLOW 1,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID YELLOW 23,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID YELLOW 23 ALUMINUM LAKE,Medium,Medium,Medium,Medium,Medium,Medium,"['Aluminum salt', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACID YELLOW 3,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
ACORUS CALAMUS ROOT EXTRACT,None,None,None,None,None,None,[],"['Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
ACRYLATES COPOLYMER,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Binding agent: Allows the cohesion of different cosmetic ingredients', 'Film forming: Produces a continuous film on skin, hair or nails']",[]
ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],"['Emulsion stabilising: Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Film forming: Produces a continuous film on skin, hair or nails', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Synthetic']
ACRYLATES/METHACRYLOYLOXYETHYL PHOSPHATE COPOLYMER,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],['Skin protecting: Helps to avoid the harmful effects of external factors on the skin'],[]
ACRYLIC ACID,Medium,Medium,Medium,Medium,Medium,Medium,[],['Maintenance agent for nails: Improves the nails’ aesthetic characteristics'],['Synthetic']
ACTINIDIA CHINENSIS FRUIT EXTRACT,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
ACTINIDIA CHINENSIS SEED OIL,None,None,None,None,None,None,['Vegetable oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
ACTINIDIA DELICIOSA FRUIT EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],[]
ADANSONIA DIGITATA LEAF EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ADANSONIA DIGITATA OIL,None,None,None,None,None,None,['Vegetable oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
ADANSONIA DIGITATA SEED OIL,None,None,None,None,None,None,['Vegetable oil'],"['Emollient: Softens and smoothes the skin', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
ADENOSINE,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],[]
ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE COPOLYMER,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],"['Film forming: Produces a continuous film on skin, hair or nails']",['Synthetic']
AESCULUS HIPPOCASTANUM EXTRACT,None,None,None,None,None,None,[],"['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Astringent: Helps tighten skin pores', 'Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin']",['Vegetal']
AESCULUS HIPPOCASTANUM SEED EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
AGAVE TEQUILANA LEAF EXTRACT,None,None,None,None,None,None,[],['Astringent: Helps tighten skin pores'],[]
AJUGA REPTANS CELL CULTURE EXTRACT,None,None,None,None,None,None,[],"['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Bleaching: Lightens hair and complexion shades', 'Chelating: Reacts and forms complexes with metal ions that could affect the stability and / or appearance of cosmetic products']",['Vegetal']
ALANINE,None,None,None,None,None,None,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",[]
ALARIA ESCULENTA EXTRACT,None,None,None,None,None,None,[],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin']",[]
ALBIZIA JULIBRISSIN BARK EXTRACT,None,None,None,None,None,None,[],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",[]
ALCOHOL,Low,Low,Low,Low,Low,Low,['Alcohol'],"['Antifoaming: Removes foam during manufacturing / reduces foam formation in liquid finished products', 'Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Astringent: Helps tighten skin pores', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Solvent: Dissolves other substances', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']","['Vegetal', 'Synthetic']"
ALCOHOL DENAT.,Low,Low,Low,Low,Low,Low,['Alcohol'],[],"['Vegetal', 'Synthetic']"
ALCOHOL DENAT. SD ALCOHOL 38-B,Low,Low,Low,Low,Low,Low,['Alcohol'],['Solvent: Dissolves other substances'],"['Vegetal', 'Synthetic']"
ALCOHOL DENAT. SD ALCOHOL 40-B,Low,Low,Low,Low,Low,Low,['Alcohol'],['Solvent: Dissolves other substances'],"['Vegetal', 'Synthetic']"
ALEURITES MOLUCCANA SEED OIL,None,None,None,None,None,None,['Vegetable oil'],[],['Vegetal']
ALEURITES MOLUCCANUS SEED OIL,None,None,None,None,None,None,['Vegetable oil'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ALGAE EXTRACT,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Oral care/hygiene agent: Provides cosmetic effects to the oral cavity (cleaning, deodorization and protection)', 'Skin conditioning - miscellaneous: Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness']",[]
ALGIN,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Binding agent: Allows the cohesion of different cosmetic ingredients', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']","['Vegetal', 'Synthetic']"
ALIPHATIC URETHANE ACRYLATE,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],[],['Synthetic']
ALIPHATIC URETHANE METHACRYLATE,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],[],['Synthetic']
ALKYL DIMETHYL BETAINE,Medium,Medium,Medium,Medium,Medium,Medium,"['Quaternary ammonium cation', 'Amphoteric surfactant']",[],[]
ALLANTOIN,None,None,None,None,None,None,[],"['Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin', 'Soothing: Helps to reduce the skin or scalp discomfort']","['Vegetal', 'Animal', 'Synthetic']"
ALLIUM CEPA BULB EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ALLIUM SATIVUM BULB EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ALLYL CAPROATE,Low,Low,Low,Low,Low,Low,['Regulated'],"['Astringent: Helps tighten skin pores', 'Emollient: Softens and smoothes the skin', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",[]
ALLYL CYCLOHEXYLPROPIONATE,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],[]
ALLYL HEPTANOATE,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],[]
ALLYL HEPTINE CARBONATE,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],[]
ALLYL PHENOXYACETATE,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],[]
ALOE BARBADENSIS EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ALOE BARBADENSIS FLOWER EXTRACT,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
ALOE BARBADENSIS LEAF EXTRACT,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Oral care/hygiene agent: Provides cosmetic effects to the oral cavity (cleaning, deodorization and protection)', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
ALOE BARBADENSIS LEAF JUICE,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ALOE BARBADENSIS LEAF JUICE POWDER,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ALOE BARBADENSIS LEAF POWDER,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ALOE BARBADENSIS LEAF WATER,None,None,None,None,None,None,[],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
ALOE FEROX LEAF EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
